DATE,CSUSHPISA
2010-03-01,145.859
2010-04-01,146.403
2010-05-01,146.394
2010-06-01,145.721
2010-07-01,144.991
2010-08-01,143.916
2010-09-01,143.019
2010-10-01,142.531
2010-11-01,142.173
2010-12-01,142.06
2011-01-01,141.52100000000002
2011-02-01,140.35
2011-03-01,139.981
2011-04-01,140.01
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.73
2011-08-01,139.309
2011-09-01,138.668
2011-10-01,137.952
2011-11-01,137.15200000000002
2011-12-01,136.674
2012-01-01,136.607
2012-02-01,136.533
2012-03-01,137.904
2012-04-01,139.154
2012-05-01,140.155
2012-06-01,141.029
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.908
2012-10-01,143.6
2012-11-01,144.585
2012-12-01,145.503
2013-01-01,146.827
2013-02-01,147.785
2013-03-01,149.963
2013-04-01,151.519
2013-05-01,152.85
2013-06-01,154.19899999999998
2013-07-01,155.60399999999998
2013-08-01,156.965
2013-09-01,158.227
2013-10-01,159.24200000000002
2013-11-01,160.07399999999998
2013-12-01,160.994
2014-01-01,161.92700000000002
2014-02-01,162.526
2014-03-01,163.086
2014-04-01,163.393
2014-05-01,163.66
2014-06-01,164.062
2014-07-01,164.577
2014-08-01,165.215
2014-09-01,165.905
2014-10-01,166.642
2014-11-01,167.335
2014-12-01,168.05
2015-01-01,168.63400000000001
2015-02-01,169.13
2015-03-01,169.8
2015-04-01,170.298
2015-05-01,170.88099999999997
2015-06-01,171.46900000000002
2015-07-01,172.13
2015-08-01,172.937
2015-09-01,173.828
2015-10-01,174.792
2015-11-01,175.739
2015-12-01,176.543
2016-01-01,177.274
2016-02-01,177.649
2016-03-01,178.16400000000002
2016-04-01,178.767
2016-05-01,179.43
2016-06-01,180.082
2016-07-01,180.832
2016-08-01,181.852
2016-09-01,182.824
2016-10-01,183.75099999999998
2016-11-01,184.75900000000001
2016-12-01,185.722
2017-01-01,186.805
2017-02-01,187.315
2017-03-01,187.993
2017-04-01,188.725
2017-05-01,189.61700000000002
2017-06-01,190.51
2017-07-01,191.452
2017-08-01,192.665
2017-09-01,193.75900000000001
2017-10-01,194.804
2017-11-01,195.955
2017-12-01,197.172
2018-01-01,198.315
2018-02-01,199.232
2018-03-01,199.96599999999998
2018-04-01,200.658
2018-05-01,201.425
2018-06-01,202.233
2018-07-01,202.91299999999998
2018-08-01,203.68900000000002
2018-09-01,204.34900000000002
2018-10-01,205.112
2018-11-01,205.669
2018-12-01,206.15599999999998
2019-01-01,206.53900000000002
2019-02-01,206.862
2019-03-01,207.06599999999997
2019-04-01,207.513
2019-05-01,208.136
2019-06-01,208.649
2019-07-01,209.287
2019-08-01,210.093
2019-09-01,210.90400000000002
2019-10-01,211.791
2019-11-01,212.787
2019-12-01,213.933
2020-01-01,214.99400000000003
2020-02-01,215.864
2020-03-01,216.40200000000002
2020-04-01,216.812
2020-05-01,216.98
2020-06-01,217.61599999999999
2020-07-01,219.378
2020-08-01,222.391
2020-09-01,225.83700000000002
2020-10-01,229.753
2020-11-01,233.208
2020-12-01,236.486
2021-01-01,239.56
2021-02-01,242.36900000000003
2021-03-01,245.465
2021-04-01,249.07
2021-05-01,253.407
2021-06-01,258.358
2021-07-01,262.82
2021-08-01,266.845
2021-09-01,270.377
2021-10-01,273.725
2021-11-01,277.21
2021-12-01,281.342
2022-01-01,285.92400000000004
